STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,County_Name,LSAD,ALAND,AWATER,GEO_PARENT_NAME,POP_DENSITY,Employer Insurance only - Pop < 19,Employer Insurance only - Pop < 19 *margin of error,Employer Insurance only - Pop 19-34,Employer Insurance only - Pop 19-34 *margin of error,Employer Insurance only - Pop 35-64,Employer Insurance only - Pop 35-64 *margin of error,Employer Insurance only - Pop 65+,Employer Insurance only - Pop 65+ *margin of error,Direct Purchase only - Pop < 19,Direct Purchase only - Pop < 19 *margin of error,Direct Purchase only - Pop 19-34,Direct Purchase only - Pop 19-34 *margin of error,Direct Purchase only - Pop 35-64,Direct Purchase only - Pop 35-64 *margin of error,Direct Purchase only - Pop 65+,Direct Purchase only - Pop 65+ *margin of error,Medicare only - Pop < 19,Medicare only - Pop < 19 *margin of error,Medicare only - Pop 19-34,Medicare only - Pop 19-34 *margin of error,Medicare only - Pop 35-64,Medicare only - Pop 35-64 *margin of error,Medicare only - Pop 65+,Medicare only - Pop 65+ *margin of error,Medicaid only - Pop < 19,Medicaid only - Pop < 19 *margin of error,Medicaid only - Pop 19-34,Medicaid only - Pop 19-34 *margin of error,Medicaid only - Pop 35-64,Medicaid only - Pop 35-64 *margin of error,Medicaid only - Pop 65+,TRICARE/Military only: - Pop < 19,TRICARE/Military only: - Pop < 19 *margin of error,TRICARE/Military only: - Pop 19-34,TRICARE/Military only: - Pop 19-34 *margin of error,TRICARE/Military only: - Pop 35-64,TRICARE/Military only: - Pop 35-64 *margin of error,TRICARE/Military only: - Pop 65+,TRICARE/Military only: - Pop 65+ *margin of error,VA Health Care only - Pop < 19,VA Health Care only - Pop < 19 *margin of error,VA Health Care only - Pop 19-34,VA Health Care only - Pop 19-34 *margin of error,VA Health Care only - Pop 35-64,VA Health Care only - Pop 35-64 *margin of error,VA Health Care only - Pop 65+,VA Health Care only - Pop 65+ *margin of error,2 or more Insurance - Pop < 19,2 or more Insurance - Pop < 19 *margin of error,2 or more Insurance - Pop 19-34,2 or more Insurance - Pop 19-34 *margin of error,2 or more Insurance - Pop 35-64,2 or more Insurance - Pop 35-64 *margin of error,2 or more Insurance - Pop 65+,2 or more Insurance - Pop 65+ *margin of error,Population with no Health Insurance Ages - 0-18,Population with no Health Insurance Ages - 0-18 *margin of error,Population with no Health Insurance Ages - 19-34,Population with no Health Insurance Ages - 19-34 *margin of error,Population with no Health Insurance Ages - 35-64,Population with no Health Insurance Ages - 35-64 *margin of error,Population with no Health Insurance Ages - Age 65+,Population with no Health Insurance Ages - Age 65+ *margin of error,Civilian noninstitutionalized population with Health Coverage,Civilian noninstitutionalized population with Health Coverage *margin of error,Total Civilian Noninstitutionalized Population - With health insurance coverage,Total Civilian Noninstitutionalized Population - With health insurance coverage *margin of error,Total Civilian Noninstitutionalized Population - With private health insurance,Total Civilian Noninstitutionalized Population - With private health insurance *margin of error,Total Civilian Noninstitutionalized Population - With public coverage,Total Civilian Noninstitutionalized Population - With public coverage *margin of error,Civilian noninstitutionalized population under 19 years,Civilian noninstitutionalized population under 19 years *margin of error,Total Civilian Noninstitutionalized Population under 19 yrs - No health insurance coverage,Total Civilian Noninstitutionalized Population under 19 yrs - No health insurance coverage *margin of error,Percent of Population with No Health Insurance Coverage,Percent of Population with No Health Insurance Coverage *margin of error,Total Civilian Noninstitutionalized Population - No health insurance coverage,Total Civilian Noninstitutionalized Population - No health insurance coverage *margin of error,Shape__Area,Shape__Length
1,1,161526,0500000US01001,1001,Autauga,6,1539602137,25706961,Alabama,35.97033199,6393,614,6230,639,12021,678,46,32,519,202,971,352,1597,450,7,11,74,80,63,61,732,237,2499,376,5145,565,626,201,976,255,,794,309,346,138,826,242,0,28,0,28,67,58,50,50,34,50,748,274,882,302,3483,472,5567,403,242,131,1612,412,2002,364,0,28,54552,232,50696,573,38855,1230,19242,944,13915,166,242,131,7.1,1,3856,561,2.052663568,0.15025706
1,3,161527,0500000US01003,1003,Baldwin,6,4117621645,1132980868,Alabama,51.68760473,22707,1395,18303,1085,46572,1693,618,217,4042,843,4483,754,10479,1101,191,201,61,64,323,219,1963,449,12590,889,16231,1316,2966,739,4678,652,,1006,436,318,185,1620,420,0,28,0,28,170,135,531,278,1,3,2544,468,2532,455,8446,934,28251,977,1836,537,7385,714,9314,954,144,126,210305,474,191626,1534,148438,2630,76905,2077,48427,382,1836,537,8.9,0.7,18679,1449,4.278237168,0.40992209
1,5,161528,0500000US01005,1005,Barbour,6,2292160139,50523213,Alabama,11.06423568,1331,187,1561,240,3712,331,18,19,176,88,471,208,545,131,21,27,22,27,0,22,327,94,1125,166,3508,239,837,193,742,161,,20,16,37,47,79,43,0,22,0,22,7,12,60,53,0,22,353,137,262,95,1370,217,3347,172,184,110,1208,220,1140,214,12,13,22475,339,19931,459,11916,573,11575,408,5594,76,184,110,11.3,1.5,2544,342,2.566226074,0.223252858
1,7,161529,0500000US01007,1007,Bibb,6,1612167476,9602089,Alabama,13.95202442,2175,432,1783,340,4133,451,38,40,288,267,431,206,531,176,0,22,8,11,0,22,157,87,1332,244,1754,422,729,293,901,337,,81,90,12,20,30,49,0,22,0,22,0,22,65,99,0,22,359,221,292,185,1277,240,2055,232,94,82,898,325,1209,333,0,22,20632,201,18431,477,12491,824,8384,759,4759,77,94,82,10.7,2.2,2201,466,1.886954973,0.156524918
1,9,161530,0500000US01009,1009,Blount,6,1670103866,15015467,Alabama,34.5373729,7191,750,6989,423,12414,710,134,88,681,284,769,267,1499,272,23,25,255,191,13,20,780,196,3687,447,3653,540,576,194,1190,240,,238,203,94,82,222,117,1,4,0,28,0,28,65,44,0,28,1134,421,419,144,2792,432,6239,426,822,347,1815,347,3501,498,21,21,57217,131,51058,804,38888,1205,19499,958,13974,151,822,347,10.8,1.4,6159,810,2.392511664,0.164403908
1,11,161531,0500000US01011,1011,Bullock,6,1613076054,6038093,Alabama,6.353079245,566,174,791,288,2376,423,120,114,0,19,68,95,111,65,16,27,0,19,1,3,176,120,413,178,1803,327,387,175,370,160,,0,19,0,19,0,19,0,19,0,19,0,19,23,19,17,24,40,32,40,33,459,164,966,192,25,29,581,354,516,264,0,19,9865,155,8743,417,5162,565,4505,533,2434,228,25,29,11.4,4.2,1122,413,2.0455052,0.154695936
1,13,161532,0500000US01013,1013,Butler,6,2012002531,2701198,Alabama,9.854858378,1867,314,1693,213,3825,270,36,29,150,77,340,130,579,162,2,4,41,37,6,11,273,92,1228,269,1886,324,498,155,564,188,,0,19,18,21,60,39,0,19,0,19,0,19,34,28,0,19,589,186,303,124,1345,219,2507,273,109,66,789,196,796,196,0,19,19538,109,17844,308,12524,604,8587,456,4642,130,109,66,8.7,1.5,1694,301,1.818327283,0.191747489
1,15,161533,0500000US01015,1015,Calhoun,6,1569195268,16587192,Alabama,73.04253482,10864,834,12340,678,21634,880,325,125,790,257,1606,354,3974,633,15,23,13,22,186,126,1640,286,3901,409,11728,836,2505,299,2600,384,,285,144,335,126,1000,324,0,28,0,28,106,124,246,121,2,4,2273,453,1763,327,6960,591,15026,429,648,207,4385,631,5675,600,29,38,112854,307,102117,964,75218,1654,46300,1219,26601,185,648,207,9.5,0.8,10737,919,2.196055727,0.154326124
1,17,161534,0500000US01017,1017,Chambers,6,1545085607,16971700,Alabama,21.78520067,2507,410,3960,338,7131,478,156,86,179,88,371,144,950,231,17,22,8,13,9,13,645,179,2187,304,3814,437,495,152,748,190,,18,32,23,26,77,65,0,25,0,25,20,26,53,37,0,25,379,165,427,135,1754,277,3895,304,392,253,1295,295,1720,312,22,27,33252,149,29823,599,20302,788,13759,686,7297,112,392,253,10.3,1.7,3429,553,1.714193178,0.15058806
1,19,161535,0500000US01019,1019,Cherokee,6,1433623319,120308342,Alabama,18.06820499,2527,358,2212,300,5988,435,3,5,132,76,238,104,655,159,0,22,2,5,58,60,532,158,1380,269,2199,340,395,138,744,176,,3,4,70,58,40,41,0,22,0,22,0,22,29,27,15,24,526,180,250,115,1180,225,4241,299,43,35,837,281,1323,292,14,25,25636,91,23419,469,17078,827,11216,623,5432,179,43,35,8.6,1.8,2217,465,1.886095857,0.15193754
