,Unnamed: 0,Geographic Identifier - FIPS Code,Name,State,Area of Land (square meters),Area of Water (square meters),Average Household Size,Total Population,Population Density (people per square kilometer),Percent of Population with No Health Insurance Coverage,Households: Receiving Food Stamps/SNAP (%),Households: Income Below Poverty Level (%),Lat,Long_,Percentage of people whose income in the past 12 months is below the poverty level,Confirmed,Deaths,Case density (Per 100000),Death density (Per 100000),Death Rate (%)
0,0,1001,Autauga County,Alabama,1539602123,25706961,2.59,55200,35.85341899,7.1,12.8,14.7,32.53952745,-86.64408227,15.2,932,20,1688.405797,36.23188406,2.145922747
1,1,1003,Baldwin County,Alabama,4117546676,1133055836,2.61,208107,50.54150356,8.9,7.7,10.5,30.72774991,-87.72207058,10.4,2727,17,1310.383601,8.168874665,0.623395673
2,2,1005,Barbour County,Alabama,2292144655,50538698,2.49,25782,11.24798121,11.3,26.8,27.5,31.868263,-85.3871286,30.7,529,4,2051.819099,15.51470018,0.756143667
3,3,1007,Bibb County,Alabama,1612167481,9602089,2.99,22527,13.973114,10.7,16.2,18.4,32.99642064,-87.1251146,18.1,327,2,1451.591424,8.878235007,0.611620795
4,4,1009,Blount County,Alabama,1670103911,15015423,2.77,57645,34.51581642,10.8,9.5,14.2,33.98210918,-86.56790593,13.6,601,1,1042.588256,1.734755833,0.166389351
5,5,1011,Bullock County,Alabama,1613059160,6054988,2.75,10352,6.41761955,11.4,22.5,28.2,32.10030533,-85.71265535,28.9,409,11,3950.927357,106.25966,2.689486553
6,6,1013,Butler County,Alabama,2012002530,2701198,2.94,20025,9.952770785,8.7,16.6,20.5,31.75300095,-86.68057478,22.5,718,35,3585.518102,174.7815231,4.874651811
7,7,1015,Calhoun County,Alabama,1569189622,16627597,2.49,115098,73.348688,9.5,17.2,18,33.77483727,-85.82630386,17.9,1157,6,1005.230325,5.212948965,0.518582541
8,8,1017,Chambers County,Alabama,1545085607,16971701,2.46,33826,21.89263808,10.3,15.5,18.1,32.91360079,-85.39072749,17.3,779,38,2302.962218,112.3396204,4.87804878
9,9,1019,Cherokee County,Alabama,1433623321,120308339,2.41,25853,18.0333283,8.6,16.4,15.6,34.17805983,-85.60638968,13.9,205,7,792.944726,27.07616137,3.414634146
10,10,1021,Chilton County,Alabama,1794477075,20592144,2.6,43930,24.48066939,13,17.3,18.9,32.85044126,-86.7173256,19.1,600,5,1365.809242,11.38174368,0.833333333
11,11,1023,Choctaw County,Alabama,2365869835,19144469,2.41,13075,5.526508604,10.3,22.8,22.7,32.02227341,-88.2656443,23.3,263,12,2011.472275,91.77820268,4.562737643
12,12,1025,Clarke County,Alabama,3207494111,36657891,2.57,24387,7.603131652,9.7,17.4,26.1,31.68099859,-87.83548597,23.2,440,9,1804.239964,36.90490835,2.045454545
13,13,1027,Clay County,Alabama,1564251835,5285207,2.51,13378,8.552331345,10.3,12.5,19.3,33.26984193,-85.85836077,17.9,175,4,1308.117805,29.89983555,2.285714286
14,14,1029,Cleburne County,Alabama,1450663940,2354896,2.58,14938,10.29735391,12.3,14.8,18.5,33.67679204,-85.52005899,17.3,101,1,676.1279957,6.694336591,0.99009901
15,15,1031,Coffee County,Alabama,1758565925,3907189,2.56,51288,29.16467291,9.8,12.9,15.2,31.39932826,-85.98901039,15.1,644,5,1255.654344,9.748869131,0.776397516
16,16,1033,Colbert County,Alabama,1535202321,79700277,2.48,54495,35.49694998,7.2,13,16.1,34.69847452,-87.80168544,15.5,922,11,1691.898339,20.1853381,1.193058568
17,17,1035,Conecuh County,Alabama,2202007854,6632046,2.73,12514,5.682995171,12.7,13.7,18.1,31.43401703,-86.99320044,17.6,340,9,2716.957008,71.91945022,2.647058824
18,18,1037,Coosa County,Alabama,1685850815,39987271,2.55,10855,6.438885282,8,11.1,13.3,32.93690146,-86.24847739,13.5,85,2,783.049286,18.42468908,2.352941176
19,19,1039,Covington County,Alabama,2669129020,34231390,2.44,37351,13.99370346,11.1,15,18.6,31.2477854,-86.45050893,18.6,641,19,1716.152178,50.86878531,2.964118565
20,20,1041,Crenshaw County,Alabama,1576952799,5388561,2.73,13865,8.792273306,8.7,15.5,16.4,31.72941803,-86.31593104,15.2,229,3,1651.640822,21.63721601,1.310043668
21,21,1043,Cullman County,Alabama,1903073019,52422496,2.64,82313,43.25267563,11.1,11.4,15,34.13020303,-86.86888037,14.9,985,9,1196.651805,10.93387436,0.913705584
22,22,1045,Dale County,Alabama,1453244553,4082940,2.57,49255,33.89312549,11.6,17.7,16.4,31.43037123,-85.61095742,17.6,705,17,1431.326769,34.51426251,2.411347518
23,23,1047,Dallas County,Alabama,2534919599,39124778,2.41,40029,15.79103338,11.1,30.5,26.7,32.32688101,-87.1086671,29.1,1207,21,3015.313897,52.46196508,1.73985087
24,24,1049,DeKalb County,Alabama,2012676479,4121543,2.69,71200,35.37577983,13.7,18.1,20.1,34.45946862,-85.80782906,21.1,1498,9,2103.932584,12.64044944,0.600801068
25,25,1051,Elmore County,Alabama,1601769095,99957723,2.63,81212,50.70144021,7.4,12.4,12.1,32.59785413,-86.14415284,11.5,1466,34,1805.151948,41.86573413,2.319236016
26,26,1053,Escambia County,Alabama,2448115119,20504948,2.57,37328,15.24764898,14.2,15.7,22.8,31.1256789,-87.15918694,22.2,841,15,2253.000429,40.18431204,1.783590963
27,27,1055,Etowah County,Alabama,1386373604,34568854,2.62,102939,74.25054812,10.6,14.3,17.3,34.04567266,-86.04051873,17.4,1690,17,1641.748997,16.51463488,1.00591716
28,28,1057,Fayette County,Alabama,1625693290,4330881,2.34,16585,10.20180135,7.6,19,20.4,33.72076938,-87.73886638,19.4,144,5,868.2544468,30.14772385,3.472222222
29,29,1059,Franklin County,Alabama,1641841406,32643981,2.79,31542,19.21135615,11.7,16.3,16,34.44235334,-87.84289505,19.4,1098,20,3481.072855,63.40752013,1.821493625
30,30,1061,Geneva County,Alabama,1487897666,11578163,2.5,26491,17.80431585,12.6,17.2,21.4,31.09389027,-85.83572839,22,192,0,724.7744517,0,0
31,31,1063,Greene County,Alabama,1675782061,33416141,2.83,8426,5.028100131,12.8,38.9,34.5,32.85504247,-87.95684022,38.1,235,11,2788.98647,130.5483029,4.680851064
32,32,1065,Hale County,Alabama,1667907112,32423361,2.6,14887,8.925557001,9.5,25.5,26.4,32.76039258,-87.63284988,24.2,429,23,2881.708874,154.4972123,5.361305361
33,33,1067,Henry County,Alabama,1454926621,16986823,2.52,17124,11.76966574,9.8,16.6,16.4,31.51148016,-85.24267944,13.8,223,3,1302.265826,17.5192712,1.34529148
34,34,1069,Houston County,Alabama,1501854593,4683050,2.63,104352,69.48209266,10.5,14,17.3,31.15197924,-85.29939599,18.2,1139,11,1091.498007,10.54124502,0.965759438
35,35,1071,Jackson County,Alabama,2791974056,126334709,2.49,52094,18.65848284,9.5,13.1,18.4,34.78144169,-85.99750489,18.6,655,3,1257.342496,5.758820594,0.458015267
36,36,1073,Jefferson County,Alabama,2878465205,32885044,2.47,659892,229.2513381,9.2,14,16.1,33.55554728,-86.895063,16,10420,203,1579.046268,30.76260964,1.948176583
37,37,1075,Lamar County,Alabama,1566544637,1600679,2.3,13933,8.894097028,10.6,18.1,19.8,33.77995024,-88.09668032,20.6,167,1,1198.593268,7.177205196,0.598802395
38,38,1077,Lauderdale County,Alabama,1730146083,133608930,2.35,92585,53.51282236,9,12,16.4,34.90171875,-87.65624729,14.6,918,9,991.5213047,9.720797105,0.980392157
39,39,1079,Lawrence County,Alabama,1788864247,68682382,2.57,33171,18.54305046,9.1,16.5,17.5,34.52041498,-87.31069453,18,254,0,765.7291007,0,0
40,40,1081,Lee County,Alabama,1573548952,21492291,2.58,159287,101.2278644,7.8,10.8,21.1,32.60154883,-85.35132246,19.6,2286,40,1435.145367,25.11190493,1.749781277
41,41,1083,Limestone County,Alabama,1450277885,122329729,2.81,93052,64.16149688,9.6,10,13.1,34.81185586,-86.98310072,13.6,1031,10,1107.982633,10.74667928,0.969932105
42,42,1085,Lowndes County,Alabama,1854201378,23721835,2.43,10236,5.520435979,8.8,33.5,28.5,32.1597283,-86.65158371,26.8,538,24,5255.959359,234.4665885,4.460966543
43,43,1087,Macon County,Alabama,1576855717,11345392,2.19,19054,12.08354055,7.5,23.3,25.5,32.38759944,-85.69267724,24.4,291,12,1527.238375,62.97890207,4.12371134
44,44,1089,Madison County,Alabama,2076091216,28831382,2.4,357560,172.2275,8.3,10.1,12.5,34.76327133,-86.55069633,12.5,4332,21,1211.544916,5.873140172,0.484764543
45,45,1091,Marengo County,Alabama,2530140238,14966620,2.48,19538,7.722101608,8.8,21.4,26.7,32.24767634,-87.78796182,21.9,484,13,2477.223871,66.53700481,2.685950413
